bsi11s8g01081,.,tsi13s22g00149,tsi13s1g00744,,tsi13s1g00497,atr42s3g02091
bsi11s6g01363,bsi11s11g00929,tsi13s1g02182,tsi13s17g00445,tsi13s3g01499,.,atr42s2g02062
.,bsi11s11g00907,tsi13s1g02159,tsi13s17g00457,.,tsi13s7g00836,atr42s7g01940
bsi11s6g01334,bsi11s11g00896,.,tsi13s17g00461,.,tsi13s7g00825,atr42s7g01924
bsi11s6g01333,bsi11s11g00893,.,tsi13s17g00463,tsi13s3g01475,.,atr42s7g01921
bsi11s6g01332,.,.,tsi13s17g00464,tsi13s3g01474,tsi13s7g00822,atr42s7g01920
.,bsi11s11g00891,.,tsi13s17g00466,.,tsi13s7g00818,atr42s7g01915
,bsi11s11g00857,tsi13s1g02136,tsi13s17g00484,tsi13s3g01465,.,atr42s7g01894
bsi11s6g01272,bsi11s11g00853,tsi13s1g02129,tsi13s17g00488,tsi13s3g01460,tsi13s7g00803,atr42s7g01882
bsi11s6g01282,bsi11s11g00843,tsi13s1g02112,tsi13s17g00497,tsi13s3g01453,tsi13s7g00793,atr42s1g02061
bsi11s6g01291,.,tsi13s1g02105,tsi13s17g00500,.,tsi13s7g00781,atr42s1g02048
bsi11s6g01297,bsi11s11g00831,tsi13s1g02098,tsi13s17g00504,.,tsi13s7g00779,atr42s1g02038
.,bsi11s11g00826,tsi13s1g02097,tsi13s17g00505,.,tsi13s7g00776,atr42s1g02035
bsi11s6g01309,bsi11s11g00823,.,tsi13s17g00515,.,tsi13s7g00769,atr42s1g02028
bsi11s6g01166,.,tsi13s1g02006,tsi13s17g00562,.,tsi13s7g00500,atr42s1g01810
bsi11s6g01167,bsi11s11g00696,tsi13s1g02007,tsi13s17g00563,.,tsi13s7g00499,atr42s1g01807
bsi11s6g01171,.,tsi13s1g02014,tsi13s17g00568,.,tsi13s7g00491,atr42s1g01830
bsi11s6g01177,.,tsi13s1g02015,tsi13s17g00570,tsi13s3g01283,tsi13s7g00489,atr42s1g01834
bsi11s6g01185,.,tsi13s1g02027,tsi13s17g00571,tsi13s3g01403,.,atr42s1g01858
bsi11s6g01155,.,tsi13s1g02003,tsi13s17g00596,.,tsi13s7g00501,atr42s1g01806
.,bsi11s11g00693,tsi13s1g02002,tsi13s17g00599,.,tsi13s7g00502,atr42s1g01803
bsi11s6g01150,.,tsi13s1g01998,tsi13s17g00600,.,tsi13s7g00511,atr42s1g01914
bsi11s6g01149,bsi11s11g00684,tsi13s1g01997,tsi13s17g00601,tsi13s3g01296,tsi13s7g00512,atr42s1g01795
bsi11s6g01137,bsi11s11g00674,.,tsi13s17g00615,tsi13s3g01302,.,atr42s1g01766
bsi11s6g01127,bsi11s11g00668,tsi13s1g01983,tsi13s17g00621,tsi13s3g01307,tsi13s7g00524,atr42s1g01752
.,bsi11s11g00658,tsi13s1g01976,tsi13s17g00644,.,tsi13s7g00528,atr42s1g01736
.,bsi11s11g00657,tsi13s1g01975,tsi13s17g00645,.,tsi13s7g00529,atr42s1g01735
bsi11s6g01115,bsi11s11g00698,.,tsi13s17g00649,.,tsi13s7g00532,atr42s1g01729
bsi11s6g01101,bsi11s11g00702,tsi13s1g01966,tsi13s17g00655,.,tsi13s7g00551,atr42s1g01705
bsi11s6g01077,bsi11s11g00723,tsi13s1g01947,tsi13s17g00665,tsi13s3g01331,.,atr42s1g01699
bsi11s6g01075,.,.,tsi13s17g00667,tsi13s3g01333,tsi13s7g00568,atr42s1g01680
bsi11s6g01073,bsi11s11g00729,.,tsi13s17g00668,.,tsi13s7g00571,atr42s1g01675
bsi11s6g01071,bsi11s11g00732,tsi13s1g01944,tsi13s17g00672,.,tsi13s7g00572,atr42s1g01672
.,bsi11s11g00733,tsi13s1g01940,tsi13s17g00673,.,tsi13s7g00576,atr42s1g01670
bsi11s6g01067,bsi11s11g00736,tsi13s1g01936,tsi13s17g00675,.,tsi13s7g00579,atr42s1g01647
bsi11s6g01059,bsi11s11g00643,tsi13s1g01934,tsi13s17g00679,.,tsi13s7g00581,atr42s1g01641
bsi11s6g01057,bsi11s11g00639,tsi13s1g01929,tsi13s17g00682,.,tsi13s7g00584,atr42s1g01627
bsi11s6g01054,,tsi13s1g01921,tsi13s17g00684,tsi13s3g01340,tsi13s7g00586,atr42s1g01555
bsi11s6g01053,,.,tsi13s17g00685,.,tsi13s7g00588,atr42s1g01552
bsi11s6g01019,,.,tsi13s17g00713,tsi13s3g01363,tsi13s7g00630,atr42s1g01603
bsi11s6g00999,,tsi13s1g01849,tsi13s17g00720,,tsi13s7g00638,atr42s1g01531
bsi11s6g00991,,tsi13s1g01841,tsi13s17g00722,,tsi13s7g00645,atr42s1g01514
bsi11s6g00990,,tsi13s1g01838,tsi13s17g00728,,tsi13s7g00651,atr42s1g01513
bsi11s6g00989,,tsi13s1g01834,tsi13s17g00729,,tsi13s7g00655,atr42s1g01511
bsi11s6g00922,,.,tsi13s17g00776,tsi13s11g00846,.,atr42s1g02009
bsi11s6g00771,.,tsi13s1g01680,tsi13s17g00930,,tsi13s7g00354,atr42s2g00105
bsi11s6g00749,.,.,tsi13s17g00949,,tsi13s7g00330,atr42s2g00127
bsi11s6g00740,bsi11s11g00363,tsi13s1g01646,tsi13s17g00960,,tsi13s7g00322,atr42s2g00147
bsi11s7g01797,bsi11s9g01686,.,tsi13s24g00020,.,tsi13s2g00020,atr42s6g00130
bsi11s7g01789,.,tsi13s16g00056,tsi13s24g00025,tsi13s9g01771,.,atr42s6g00146
.,bsi11s9g01653,tsi13s16g00072,tsi13s24g00034,tsi13s9g01719,.,atr42s6g00343
bsi11s7g01751,.,.,tsi13s24g00036,tsi13s9g01734,.,atr42s6g00350
.,bsi11s9g01656,tsi13s16g00074,tsi13s24g00037,tsi13s9g01736,.,atr42s6g00351
bsi11s7g01753,bsi11s9g01658,tsi13s16g00076,tsi13s24g00038,tsi13s9g01740,.,atr42s6g00354
bsi11s7g01762,.,tsi13s16g00085,tsi13s24g00043,tsi13s9g01747,.,atr42s6g00373
bsi11s7g01764,bsi11s9g01665,tsi13s16g00086,tsi13s24g00045,tsi13s9g01748,.,atr42s2g02528
bsi11s7g01736,.,tsi13s16g00089,tsi13s24g00046,tsi13s9g01722,.,atr42s6g00280
bsi11s7g01729,bsi11s9g01648,tsi13s16g00097,tsi13s24g00050,tsi13s9g01709,tsi13s2g00065,atr42s6g00306
.,bsi11s9g01646,tsi13s16g00100,tsi13s24g00051,tsi13s9g01708,tsi13s2g00066,atr42s6g00319
bsi11s7g01728,.,tsi13s16g00101,tsi13s24g00052,tsi13s9g01707,.,atr42s6g00318
.,bsi11s9g01643,tsi13s16g00102,tsi13s24g00055,tsi13s9g01706,tsi13s2g00068,atr42s6g00316
bsi11s7g01726,bsi11s9g01642,tsi13s16g00103,tsi13s24g00057,tsi13s9g01705,.,atr42s6g00315
.,bsi11s9g01639,tsi13s16g00108,tsi13s24g00060,tsi13s9g01698,.,atr42s6g00331
.,bsi11s9g01634,tsi13s16g00119,tsi13s24g00063,tsi13s9g01690,.,atr42s6g00256
bsi11s7g01713,bsi11s9g01632,tsi13s16g00122,tsi13s24g00065,tsi13s9g01688,.,atr42s2g02581
.,bsi11s9g01631,tsi13s16g00123,tsi13s24g00066,.,tsi13s2g00076,atr42s6g00251
bsi11s7g01712,bsi11s9g01629,tsi13s16g00124,tsi13s24g00067,tsi13s9g01686,.,atr42s6g00239
bsi11s7g01702,bsi11s9g01619,tsi13s16g00128,tsi13s24g00070,tsi13s9g01677,tsi13s2g00081,atr42s6g00223
bsi11s7g01697,bsi11s9g01614,tsi13s16g00133,tsi13s24g00072,tsi13s9g01671,tsi13s2g00085,atr42s6g00215
bsi11s7g01692,bsi11s9g01613,tsi13s16g00138,tsi13s24g00073,tsi13s9g01669,tsi13s2g00087,atr42s2g02600
bsi11s7g01685,bsi11s9g01607,tsi13s16g00142,tsi13s24g00074,tsi13s9g01666,.,atr42s6g00189
.,bsi11s9g01606,.,tsi13s24g00077,tsi13s9g01659,tsi13s2g00093,atr42s6g00170
bsi11s7g01680,.,tsi13s16g00148,tsi13s24g00078,tsi13s9g01658,.,atr42s6g00168
bsi11s7g01657,.,tsi13s16g00166,tsi13s24g00090,tsi13s9g01640,.,atr42s6g00454
bsi11s7g01652,bsi11s9g01586,tsi13s16g00172,tsi13s24g00094,tsi13s9g01633,.,atr42s6g00432
bsi11s7g01631,.,.,tsi13s24g00107,tsi13s9g01616,tsi13s2g00126,atr42s6g00516
bsi11s7g01636,.,.,tsi13s24g00114,tsi13s9g01612,tsi13s2g00131,atr42s6g00537
.,bsi11s9g01509,.,tsi13s24g00151,tsi13s9g01566,tsi13s2g00155,atr42s6g02027
bsi11s7g01580,bsi11s9g01506,tsi13s16g00243,tsi13s24g00157,tsi13s9g01565,.,atr42s6g02021
bsi11s7g01574,bsi11s9g01504,tsi13s16g00249,tsi13s24g00162,tsi13s9g01562,tsi13s2g00158,atr42s6g01247
bsi11s7g01572,bsi11s5g01473,tsi13s16g00251,tsi13s24g00163,tsi13s9g01561,tsi13s2g00159,atr42s6g01244
bsi11s7g01571,.,.,tsi13s24g00165,tsi13s9g01560,tsi13s2g00160,atr42s6g01240
bsi11s7g01569,.,tsi13s16g00252,tsi13s24g00166,tsi13s9g01559,.,atr42s6g01234
bsi11s7g01565,bsi11s5g01467,tsi13s16g00253,tsi13s24g00171,tsi13s9g01556,tsi13s2g00165,atr42s6g01226
bsi11s7g01559,bsi11s5g01464,tsi13s16g00256,tsi13s24g00172,tsi13s9g01549,tsi13s2g00168,atr42s6g02036
bsi11s7g01553,.,.,tsi13s24g00183,tsi13s9g01540,.,atr42s6g02069
.,bsi11s9g01418,tsi13s16g00297,tsi13s24g00205,tsi13s9g01520,tsi13s2g00193,atr42s6g01961
bsi11s7g01515,.,tsi13s16g00301,tsi13s24g00209,tsi13s9g01515,tsi13s2g00197,atr42s6g01938
.,bsi11s9g01421,tsi13s16g00302,tsi13s24g00210,tsi13s9g01514,.,atr42s6g01937
bsi11s7g01503,bsi11s9g01428,.,tsi13s24g00217,.,tsi13s2g00204,atr42s6g02008
.,bsi11s9g01430,.,tsi13s24g00218,tsi13s9g01503,tsi13s2g00206,atr42s6g01663
bsi11s7g01501,bsi11s9g01431,tsi13s16g00316,tsi13s24g00224,tsi13s9g01502,.,atr42s6g01665
bsi11s7g01496,bsi11s9g01434,tsi13s16g00322,tsi13s24g00238,tsi13s9g01498,tsi13s2g00207,atr42s6g01694
bsi11s7g01484,.,tsi13s16g00328,tsi13s24g00244,tsi13s9g01491,tsi13s2g00208,atr42s6g01699
bsi11s7g01483,bsi11s9g01436,tsi13s16g00330,tsi13s24g00247,tsi13s9g01478,tsi13s7g01274,atr42s6g01721
bsi11s7g01481,.,tsi13s16g00334,tsi13s24g00249,tsi13s9g01477,tsi13s7g01272,atr42s6g01736
bsi11s7g01479,bsi11s9g01437,tsi13s16g00335,tsi13s24g00254,tsi13s9g01474,tsi13s7g01271,atr42s6g01749
bsi11s7g01469,bsi11s9g01445,tsi13s16g00343,tsi13s24g00268,tsi13s9g01469,tsi13s2g00223,atr42s6g01815
bsi11s7g01464,bsi11s9g01448,tsi13s16g00347,tsi13s24g00272,.,tsi13s7g01249,atr42s6g01816
bsi11s7g01460,.,tsi13s16g00350,tsi13s24g00275,tsi13s9g01463,.,atr42s6g01826
bsi11s7g01450,bsi11s9g01455,tsi13s16g00355,tsi13s24g00276,tsi13s9g01459,tsi13s2g00232,atr42s6g01848
.,bsi11s9g01456,tsi13s16g00357,tsi13s24g00277,tsi13s9g01456,tsi13s7g01248,atr42s6g01852
.,bsi11s9g01459,.,tsi13s24g00279,tsi13s9g01452,.,atr42s6g01860
bsi11s7g01446,.,tsi13s16g00362,tsi13s24g00281,tsi13s9g01451,tsi13s2g00242,atr42s6g01862
bsi11s7g01444,.,.,tsi13s24g00282,tsi13s9g01447,tsi13s2g00245,atr42s6g01880
bsi11s7g01409,.,.,tsi13s24g00314,tsi13s9g01414,.,atr42s3g00810
bsi11s7g01402,.,tsi13s16g00402,tsi13s24g00317,tsi13s9g01406,tsi13s2g00269,atr42s3g00831
bsi11s7g01390,bsi11s9g01485,tsi13s16g00413,tsi13s24g00329,tsi13s9g01395,tsi13s2g00275,atr42s3g00878
bsi11s7g01376,bsi11s9g01492,.,tsi13s24g00332,tsi13s9g01390,tsi13s2g00641,atr42s3g00941
bsi11s7g01373,bsi11s9g01495,tsi13s16g00423,tsi13s24g00336,tsi13s9g01326,.,atr42s3g00961
bsi11s7g01360,bsi11s9g01379,tsi13s16g00435,tsi13s24g00344,tsi13s9g01338,tsi13s2g00296,atr42s3g01034
bsi11s7g01355,bsi11s9g01372,tsi13s16g00442,tsi13s24g00348,tsi13s9g01356,tsi13s2g00302,atr42s1g02139
.,bsi11s9g01367,.,tsi13s24g00350,.,tsi13s2g00638,atr42s1g02154
.,bsi11s9g01364,tsi13s16g00447,tsi13s24g00353,tsi13s9g01365,.,atr42s1g02157
bsi11s7g01350,bsi11s9g01358,tsi13s16g00453,tsi13s24g00357,tsi13s9g01373,.,atr42s1g02168
bsi11s7g01329,bsi11s9g01353,.,tsi13s24g00360,tsi13s9g01384,.,atr42s1g02184
bsi11s7g01315,bsi11s9g01346,tsi13s16g00477,tsi13s24g00367,tsi13s9g00855,.,atr42s1g02203
bsi11s7g01312,.,tsi13s16g00480,tsi13s24g00369,tsi13s9g00858,.,atr42s10g01680
bsi11s7g01311,bsi11s9g01343,tsi13s16g00481,tsi13s24g00370,tsi13s9g00860,tsi13s2g00631,atr42s10g01674
.,bsi11s9g01342,tsi13s16g00482,tsi13s24g00371,tsi13s9g00862,.,atr42s10g01672
bsi11s7g01309,bsi11s9g01341,tsi13s16g00484,tsi13s24g00372,tsi13s9g00863,tsi13s2g00629,atr42s10g01671
.,bsi11s9g01337,tsi13s16g00487,tsi13s24g00374,tsi13s9g00871,.,atr42s10g01341
.,bsi11s9g01334,tsi13s16g00489,tsi13s24g00377,tsi13s9g00877,.,atr42s10g01647
bsi11s7g01296,bsi11s9g01332,tsi13s16g00493,tsi13s24g00378,tsi13s9g00881,tsi13s2g00620,atr42s10g01589
.,bsi11s9g01327,tsi13s16g00499,tsi13s24g00380,tsi13s9g00887,.,atr42s10g01629
bsi11s7g01290,bsi11s9g01326,tsi13s16g00500,tsi13s24g00381,tsi13s9g00888,.,atr42s10g01628
bsi11s7g01279,bsi11s9g01317,tsi13s16g00511,tsi13s24g00386,tsi13s9g00906,.,atr42s10g01557
bsi11s7g01278,bsi11s9g01315,tsi13s16g00512,tsi13s24g00387,tsi13s9g00907,tsi13s2g00612,atr42s10g01562
bsi11s7g01277,bsi11s9g01312,tsi13s16g00521,tsi13s24g00389,tsi13s9g00908,.,atr42s10g01574
bsi11s7g01273,bsi11s9g01309,tsi13s16g00525,tsi13s24g00390,tsi13s9g00911,.,atr42s10g01583
.,bsi11s9g01290,tsi13s16g00534,tsi13s24g00395,.,tsi13s2g00600,atr42s10g01528
bsi11s7g01258,bsi11s9g01289,tsi13s16g00535,tsi13s24g00396,tsi13s9g00929,tsi13s2g00596,atr42s10g01526
bsi11s7g01245,.,.,tsi13s24g00410,tsi13s9g00953,.,atr42s10g01311
bsi11s7g01242,bsi11s9g01267,tsi13s16g00548,tsi13s24g00413,tsi13s9g00955,.,atr42s10g01304
bsi11s7g01235,bsi11s9g01264,.,tsi13s24g00420,tsi13s9g00957,.,atr42s10g01272
bsi11s7g01211,bsi11s9g01256,tsi13s16g00575,tsi13s24g00430,.,tsi13s2g00571,atr42s10g01239
bsi11s7g01224,.,tsi13s16g00582,tsi13s24g00435,.,tsi13s2g00581,atr42s10g01351
bsi11s7g01176,bsi11s9g01218,tsi13s16g00604,tsi13s24g00456,tsi13s9g01008,tsi13s2g00531,atr42s3g02550
bsi11s7g01158,bsi11s9g01204,tsi13s16g00627,tsi13s24g00472,.,tsi13s2g00520,atr42s5g01927
.,bsi11s9g01196,tsi13s16g00638,tsi13s24g00485,tsi13s9g01026,tsi13s2g00507,atr42s5g01900
bsi11s7g01141,.,tsi13s16g00640,tsi13s24g00487,tsi13s9g01027,tsi13s2g00505,atr42s5g01896
bsi11s7g01123,.,tsi13s16g00642,tsi13s24g00489,tsi13s9g01050,tsi13s2g00495,atr42s4g02553
bsi11s7g01127,bsi11s9g01180,tsi13s16g00644,tsi13s24g00492,tsi13s9g01048,tsi13s2g00497,atr42s4g02549
bsi11s7g01130,bsi11s9g01182,tsi13s16g00648,tsi13s24g00494,tsi13s9g01046,tsi13s2g00499,atr42s4g02541
bsi11s7g01131,bsi11s9g01183,tsi13s16g00649,tsi13s24g00495,tsi13s9g01045,tsi13s2g00500,atr42s4g02539
bsi11s7g01132,.,.,tsi13s24g00497,tsi13s9g01044,tsi13s2g00501,atr42s4g02538
.,bsi11s9g01187,.,tsi13s24g00498,tsi13s9g01043,.,atr42s4g02536
bsi11s1g00818,bsi11s9g01188,tsi13s16g00651,tsi13s24g00499,tsi13s9g01041,tsi13s2g00502,atr42s4g02526
bsi11s7g01137,.,.,tsi13s24g00505,tsi13s9g01030,tsi13s2g00503,atr42s5g01889
bsi11s7g01117,bsi11s9g01176,.,tsi13s24g00507,tsi13s9g01055,tsi13s2g00489,atr42s4g02560
bsi11s7g01104,bsi11s9g01167,tsi13s16g00673,tsi13s24g00514,tsi13s9g01063,tsi13s2g00479,atr42s4g02595
bsi11s7g01098,.,tsi13s16g00675,tsi13s24g00516,tsi13s9g01064,tsi13s2g00478,atr42s4g02510
bsi11s7g01094,.,.,tsi13s24g00519,tsi13s9g01068,.,atr42s4g02603
bsi11s7g01090,bsi11s9g01165,tsi13s16g00681,tsi13s24g00520,tsi13s9g01072,tsi13s2g00467,atr42s4g02609
bsi11s7g01089,bsi11s9g01051,tsi13s16g00683,tsi13s24g00523,tsi13s9g01074,tsi13s2g00466,atr42s4g02652
bsi11s7g01085,bsi11s9g01161,tsi13s16g00687,tsi13s24g00524,tsi13s9g01079,tsi13s2g00464,atr42s4g02630
bsi11s1g00831,bsi11s9g01159,tsi13s16g00688,tsi13s24g00525,.,tsi13s2g00463,atr42s4g02628
.,bsi11s9g01157,tsi13s16g00689,tsi13s24g00526,tsi13s9g01080,tsi13s2g00462,atr42s4g02627
bsi11s7g01082,bsi11s9g01154,.,tsi13s24g00529,tsi13s9g01081,tsi13s2g00461,atr42s4g02623
bsi11s7g01076,.,tsi13s16g00699,tsi13s24g00532,.,tsi13s2g00458,atr42s4g02644
bsi11s7g01047,bsi11s9g01142,tsi13s16g01209,tsi13s24g00539,tsi13s9g01091,,atr42s4g02668
bsi11s7g00734,bsi11s9g00800,tsi13s16g01095,tsi13s24g00602,tsi13s9g00841,tsi13s2g00641,atr42s10g01742
bsi11s7g00738,.,tsi13s16g01094,tsi13s24g00606,tsi13s9g00836,.,atr42s10g01729
bsi11s7g00743,.,.,tsi13s24g00615,tsi13s9g00834,tsi13s2g00649,atr42s10g01751
.,bsi11s9g00815,tsi13s16g01086,tsi13s24g00619,tsi13s9g00832,tsi13s2g00652,atr42s10g01765
.,bsi11s9g00817,tsi13s16g01085,tsi13s24g00622,tsi13s9g00830,.,atr42s10g01773
bsi11s7g00747,bsi11s9g00831,tsi13s16g01067,tsi13s24g00631,tsi13s9g00821,.,atr42s10g01795
bsi11s7g00749,bsi11s9g00833,.,tsi13s24g00635,tsi13s9g00817,tsi13s2g00657,atr42s10g01823
bsi11s7g00757,bsi11s9g00844,tsi13s16g01059,tsi13s24g00645,tsi13s9g00808,tsi13s2g00660,atr42s10g01836
bsi11s7g00761,bsi11s9g00846,tsi13s16g01052,tsi13s24g00647,tsi13s9g00806,tsi13s2g00662,atr42s10g01839
.,bsi11s9g00853,tsi13s16g01048,tsi13s24g00648,tsi13s9g01319,tsi13s2g00302,atr42s10g01847
bsi11s7g00771,bsi11s9g00855,tsi13s16g01046,tsi13s24g00650,tsi13s9g01318,.,atr42s10g01854
bsi11s7g00781,.,.,tsi13s24g00681,tsi13s9g01301,tsi13s2g00307,atr42s10g00495
bsi11s7g00783,bsi11s9g00869,tsi13s16g01033,tsi13s24g00683,.,tsi13s2g00308,atr42s10g00490
bsi11s7g00785,bsi11s9g00871,tsi13s16g01029,tsi13s24g00686,tsi13s9g01298,tsi13s2g00310,atr42s10g00464
.,bsi11s9g00873,tsi13s16g01028,tsi13s24g00687,tsi13s9g01293,.,atr42s10g00463
.,bsi11s9g00877,tsi13s16g01024,tsi13s24g00688,tsi13s9g01289,.,atr42s10g00436
bsi11s7g00791,bsi11s9g00878,tsi13s16g01023,tsi13s24g00689,tsi13s9g01288,tsi13s2g00313,atr42s4g01440
bsi11s7g00798,bsi11s9g00888,.,tsi13s24g00691,tsi13s9g01264,.,atr42s4g01447
bsi11s7g00804,bsi11s9g00894,tsi13s16g01016,tsi13s24g00692,tsi13s9g01252,.,atr42s10g00382
bsi11s7g00807,bsi11s9g00898,tsi13s16g01012,tsi13s24g00694,tsi13s9g01247,tsi13s2g00326,atr42s10g00366
bsi11s7g00808,.,tsi13s16g01011,tsi13s24g00695,tsi13s9g01246,tsi13s2g00328,atr42s10g00365
bsi11s7g00820,bsi11s9g00901,.,tsi13s24g00697,tsi13s9g01243,tsi13s2g00332,atr42s10g00352
bsi11s7g00827,bsi11s9g00905,tsi13s16g00997,tsi13s24g00699,tsi13s9g01236,tsi13s2g00335,atr42s10g00328
bsi11s7g00831,,tsi13s16g00990,tsi13s24g00700,.,tsi13s2g00340,atr42s10g00314
bsi11s7g00568,bsi11s9g00459,tsi13s16g00979,tsi13s24g00704,.,tsi13s2g01063,atr42s4g01551
bsi11s7g00573,bsi11s9g00469,.,tsi13s24g00707,.,tsi13s2g01055,atr42s4g01564
bsi11s7g00581,bsi11s9g00477,tsi13s16g00967,tsi13s24g00708,tsi13s9g00426,tsi13s2g01051,atr42s4g01593
.,bsi11s9g00484,tsi13s16g00964,tsi13s24g00710,tsi13s9g00442,tsi13s2g01046,atr42s4g01615
bsi11s7g00604,bsi11s9g00518,tsi13s16g00954,tsi13s24g00715,tsi13s9g00461,.,atr42s4g01505
bsi11s7g00613,bsi11s9g00536,tsi13s16g00941,tsi13s24g00719,.,tsi13s2g01032,atr42s4g02267
bsi11s7g00626,bsi11s9g00564,tsi13s16g00922,tsi13s24g00733,tsi13s9g00487,tsi13s2g01016,atr42s4g02245
.,bsi11s9g00592,tsi13s16g00905,tsi13s24g00747,tsi13s9g00495,,atr42s4g02215
bsi11s7g00723,bsi11s9g00761,tsi13s16g00796,tsi13s24g00823,tsi13s9g00596,tsi13s2g00819,atr42s13g00550
bsi11s7g00959,bsi11s9g01078,tsi13s16g00786,tsi13s24g00833,tsi13s9g00661,.,atr42s13g00584
bsi11s7g00955,bsi11s9g01073,.,tsi13s24g00834,.,tsi13s2g00795,atr42s13g00596
bsi11s7g00954,bsi11s9g01072,tsi13s16g00784,tsi13s24g00835,tsi13s9g00666,tsi13s2g00794,atr42s13g00597
bsi11s7g00949,bsi11s9g01069,tsi13s16g00779,tsi13s24g00845,tsi13s9g00671,.,atr42s13g00616
bsi11s7g00942,bsi11s9g01062,tsi13s16g00773,tsi13s24g00850,tsi13s9g00678,tsi13s2g00786,atr42s13g00628
bsi11s7g00935,bsi11s9g01057,.,tsi13s24g00866,tsi13s9g00688,.,atr42s13g00640
bsi11s7g01043,.,.,tsi13s24g00908,tsi13s9g01096,tsi13s2g00448,atr42s4g02678
.,bsi11s9g01136,tsi13s16g00745,tsi13s24g00910,.,tsi13s2g00446,atr42s4g02681
bsi11s7g01041,bsi11s9g01135,tsi13s16g00744,tsi13s24g00913,tsi13s9g01098,tsi13s2g00445,atr42s4g02682
bsi11s7g01040,bsi11s9g01133,tsi13s16g00742,tsi13s24g00916,tsi13s9g01099,tsi13s2g00443,atr42s4g02687
bsi11s7g01032,bsi11s9g01126,tsi13s16g00740,tsi13s24g00921,tsi13s9g01110,tsi13s2g00434,atr42s4g02701
bsi11s7g01018,bsi11s9g01116,tsi13s16g00725,tsi13s24g00940,tsi13s9g01140,.,atr42s4g02718
bsi11s7g01012,.,tsi13s16g00722,tsi13s24g00942,.,tsi13s2g00431,atr42s4g02722
bsi11s7g01011,.,.,tsi13s24g00943,.,tsi13s2g00430,atr42s4g02723
bsi11s7g00867,bsi11s9g00967,tsi13s16g01255,tsi13s24g00991,.,tsi13s2g00376,atr42s10g00095
bsi11s7g00864,bsi11s9g00961,tsi13s16g01258,tsi13s24g00992,tsi13s9g01205,.,atr42s10g00101
bsi11s7g00861,bsi11s9g00958,tsi13s16g01260,tsi13s24g00993,.,tsi13s2g00374,atr42s10g00103
.,bsi11s9g00957,tsi13s16g01262,tsi13s24g00994,tsi13s9g01206,tsi13s2g00373,atr42s10g00108
.,bsi11s9g00953,tsi13s16g01263,tsi13s24g00997,.,tsi13s2g00361,atr42s10g00117
,bsi11s9g00401,tsi13s16g01311,tsi13s24g01061,tsi13s9g00386,,atr42s4g00445
bsi11s7g00558,bsi11s9g00396,tsi13s16g01319,tsi13s24g01076,tsi13s9g00382,,atr42s4g00434
.,bsi11s9g00373,tsi13s16g01328,tsi13s24g01085,tsi13s9g00372,,atr42s4g00385
.,bsi11s9g00271,.,tsi13s24g01157,tsi13s9g00228,,atr42s9g00332
bsi11s7g00438,bsi11s9g00272,tsi13s16g01406,tsi13s24g01158,tsi13s9g00229,,atr42s9g00335
bsi11s4g01528,,tsi13s8g00053,tsi13s21g00061,tsi13s13g00012,.,atr42s1g02415
bsi11s4g01496,,.,tsi13s21g00053,tsi13s13g00019,tsi13s2g01396,atr42s1g02433
bsi11s4g01475,,tsi13s8g00072,tsi13s21g00050,tsi13s13g00033,tsi13s2g01405,atr42s1g02448
bsi11s4g01443,,tsi13s8g00079,.,tsi13s13g00037,.,atr42s1g02456
bsi11s4g01436,,tsi13s8g00081,tsi13s21g00041,tsi13s13g00046,tsi13s2g01419,atr42s1g02462
bsi11s4g01396,,tsi13s8g00105,,tsi13s13g00063,.,atr42s1g02486
bsi11s4g01395,,.,tsi13s21g00146,tsi13s13g00067,tsi13s2g01422,atr42s1g02488
bsi11s4g01382,,tsi13s8g00119,tsi13s21g00150,tsi13s13g00068,.,atr42s1g02493
bsi11s4g01324,,.,tsi13s21g00191,tsi13s13g00081,,atr42s1g02522
bsi11s4g01271,,.,tsi13s21g00197,tsi13s13g00101,,atr42s12g02065
bsi11s4g01238,,tsi13s8g00161,tsi13s21g00220,tsi13s13g00123,,atr42s12g02046
bsi11s4g01224,,.,tsi13s21g00226,tsi13s13g00139,,atr42s12g02035
bsi11s4g01063,bsi11s13g00192,tsi13s8g00234,tsi13s21g00244,tsi13s13g00185,,atr42s12g01952
.,bsi11s13g00198,tsi13s8g00244,,tsi13s13g00191,,atr42s12g01939
bsi11s4g01047,.,tsi13s8g00246,,tsi13s13g00192,tsi13s2g01486,atr42s12g01937
bsi11s4g01020,.,tsi13s8g00272,,tsi13s13g00201,tsi13s2g01491,atr42s12g01911
bsi11s4g01017,.,tsi13s8g00317,,tsi13s13g00205,.,atr42s12g01910
bsi11s4g01014,bsi11s13g00213,tsi13s8g00322,,tsi13s13g00211,tsi13s2g01494,atr42s12g01907
bsi11s8g01163,.,.,tsi13s21g00299,tsi13s13g00223,tsi13s2g01499,atr42s12g01894
bsi11s4g00947,bsi11s13g00223,tsi13s8g00354,tsi13s21g00319,tsi13s13g00227,.,atr42s12g01881
bsi11s4g00929,bsi11s13g00229,tsi13s4g00905,.,tsi13s13g00233,.,atr42s12g01869
.,bsi11s13g00230,tsi13s4g00906,.,tsi13s13g00234,tsi13s2g01503,atr42s12g01867
bsi11s4g00927,,tsi13s4g00920,.,tsi13s13g00236,.,atr42s12g01862
bsi11s4g00926,,tsi13s8g00393,.,tsi13s13g00237,.,atr42s12g01861
