aek_tsi13s1g00001,atr42s3g01831
aek_tsi13s2g00885,
aek_tsi13s2g00886,
aek_tsi13s2g00887,
aek_tsi13s2g00888,
aek_tsi13s2g00889,
aek_tsi13s2g00890,
aek_tsi13s2g00891,
aek_tsi13s2g00892,
aek_tsi13s2g00893,
aek_tsi13s2g00894,
aek_tsi13s2g00895,
aek_tsi13s2g00896,
aek_tsi13s2g00897,
aek_tsi13s2g00898,
aek_tsi13s2g00899,
aek_tsi13s2g00900,
aek_tsi13s2g00901,
aek_tsi13s2g00902,
aek_tsi13s2g00903,
aek_tsi13s2g00904,
aek_tsi13s2g00905,
aek_tsi13s2g00906,
aek_tsi13s2g00907,
aek_tsi13s2g00908,
aek_tsi13s2g00909,
aek_tsi13s2g00910,
aek_tsi13s2g00911,
aek_tsi13s2g00912,
aek_tsi13s2g00913,
aek_tsi13s2g00914,
aek_tsi13s2g00915,
aek_tsi13s2g00916,
aek_tsi13s2g00917,atr42s2g00098
aek_tsi13s2g00918,.
aek_tsi13s2g00919,.
aek_tsi13s2g00920,.
aek_tsi13s2g00921,.
aek_tsi13s2g00922,.
aek_tsi13s2g00923,.
aek_tsi13s2g00924,.
aek_tsi13s2g00925,.
aek_tsi13s2g00926,.
aek_tsi13s2g00927,.
aek_tsi13s2g00928,.
aek_tsi13s2g00929,atr42s2g00102
aek_tsi13s2g00930,atr42s2g00105
aek_tsi13s2g00931,.
aek_tsi13s2g00932,atr42s2g00143
aek_tsi13s2g00933,atr42s2g00141
aek_tsi13s2g00934,atr42s2g00139
aek_tsi13s2g00935,.
aek_tsi13s2g00936,.
aek_tsi13s2g00937,.
aek_tsi13s2g00938,.
aek_tsi13s2g00939,.
aek_tsi13s2g00940,atr42s2g00138
aek_tsi13s2g00941,.
aek_tsi13s2g00942,.
aek_tsi13s2g00943,.
aek_tsi13s2g00944,.
aek_tsi13s2g00945,.
aek_tsi13s2g00946,.
aek_tsi13s2g00947,atr42s2g00128
aek_tsi13s2g00948,.
aek_tsi13s2g00949,atr42s2g00127
aek_tsi13s2g00950,.
aek_tsi13s2g00951,.
aek_tsi13s2g00952,atr42s2g00121
aek_tsi13s2g00953,.
aek_tsi13s2g00954,.
aek_tsi13s2g00955,.
aek_tsi13s2g00956,.
aek_tsi13s2g00957,.
aek_tsi13s2g00958,atr42s2g00119
aek_tsi13s2g00959,atr42s2g00117
aek_tsi13s2g00960,atr42s2g00147
aek_tsi13s2g00961,.
aek_tsi13s2g00962,.
aek_tsi13s2g00963,.
aek_tsi13s2g00964,.
aek_tsi13s2g00965,.
aek_tsi13s2g00966,.
aek_tsi13s2g00967,.
aek_tsi13s2g00968,.
aek_tsi13s2g00969,.
aek_tsi13s2g00970,.
aek_tsi13s2g00971,.
aek_tsi13s2g00972,.
aek_tsi13s2g00973,.
aek_tsi13s2g00974,atr42s2g00175
aek_tsi13s2g00975,atr42s2g00201
aek_tsi13s2g00976,
aek_tsi13s2g00977,
aek_tsi13s2g00978,
aek_tsi13s2g00979,
aek_tsi13s2g00980,
aek_tsi13s2g00981,
aek_tsi13s2g00982,
aek_tsi13s2g00983,
aek_tsi13s2g00984,
aek_tsi13s2g00985,
aek_tsi13s2g00986,
aek_tsi13s2g00987,
aek_tsi13s2g00988,
aek_tsi13s2g00989,
aek_tsi13s2g00990,
aek_tsi13s2g00991,
aek_tsi13s2g00992,
aek_tsi13s2g00993,
aek_tsi13s2g00994,
aek_tsi13s2g00995,
aek_tsi13s2g00996,
aek_tsi13s2g00997,
aek_tsi13s2g00998,
aek_tsi13s2g00999,
aek_tsi13s2g01000,
aek_tsi13s2g01001,
aek_tsi13s2g01002,
aek_tsi13s2g01003,
aek_tsi13s2g01004,
aek_tsi13s2g01005,
aek_tsi13s2g01006,
aek_tsi13s2g01007,
aek_tsi13s2g01008,
aek_tsi13s2g01009,
aek_tsi13s2g01010,
aek_tsi13s2g01011,
aek_tsi13s2g01012,
aek_tsi13s2g01013,
aek_tsi13s2g01014,
aek_tsi13s2g01015,
aek_tsi13s2g01016,
aek_tsi13s2g01017,
aek_tsi13s2g01018,
aek_tsi13s2g01019,
aek_tsi13s2g01020,
aek_tsi13s2g01021,
aek_tsi13s2g01022,
aek_tsi13s2g01023,
aek_tsi13s2g01024,
aek_tsi13s2g01025,
aek_tsi13s2g01026,
aek_tsi13s2g01027,
aek_tsi13s2g01028,
aek_tsi13s2g01029,
aek_tsi13s2g01030,
aek_tsi13s2g01031,
aek_tsi13s2g01032,
aek_tsi13s2g01033,
aek_tsi13s2g01034,
aek_tsi13s2g01035,
aek_tsi13s2g01036,
aek_tsi13s2g01037,
aek_tsi13s2g01038,
aek_tsi13s2g01039,
aek_tsi13s2g01040,
aek_tsi13s2g01041,
aek_tsi13s2g01042,
aek_tsi13s2g01043,
aek_tsi13s2g01044,atr42s2g00257
aek_tsi13s2g01045,atr42s2g00259
aek_tsi13s2g01046,.
aek_tsi13s2g01047,.
aek_tsi13s2g01048,.
aek_tsi13s2g01049,.
aek_tsi13s2g01050,atr42s2g00260
aek_tsi13s2g01051,.
aek_tsi13s2g01052,.
aek_tsi13s2g01053,.
aek_tsi13s2g01054,atr42s2g00269
aek_tsi13s2g01055,.
aek_tsi13s2g01056,.
aek_tsi13s2g01057,.
aek_tsi13s2g01058,.
aek_tsi13s2g01059,.
aek_tsi13s2g01060,atr42s2g00273
aek_tsi13s2g01061,atr42s2g00276
aek_tsi13s2g01062,
aek_tsi13s2g01063,
aek_tsi13s2g01064,
aek_tsi13s2g01065,
aek_tsi13s2g01066,
aek_tsi13s2g01067,
aek_tsi13s2g01068,
aek_tsi13s2g01069,
aek_tsi13s2g01070,
aek_tsi13s2g01071,
aek_tsi13s2g01072,
aek_tsi13s2g01073,
aek_tsi13s2g01074,atr42s2g00399
aek_tsi13s2g01075,atr42s2g00389
aek_tsi13s2g01076,.
aek_tsi13s2g01077,.
aek_tsi13s2g01078,.
aek_tsi13s2g01079,.
aek_tsi13s2g01080,.
aek_tsi13s2g01081,.
aek_tsi13s2g01082,atr42s2g00371
aek_tsi13s2g01083,.
aek_tsi13s2g01084,.
aek_tsi13s2g01085,.
aek_tsi13s2g01086,.
aek_tsi13s2g01087,.
aek_tsi13s2g01088,atr42s2g00354
aek_tsi13s2g01089,atr42s2g00351
aek_tsi13s2g01090,.
aek_tsi13s2g01091,.
aek_tsi13s2g01092,.
aek_tsi13s2g01093,.
aek_tsi13s2g01094,.
aek_tsi13s2g01095,.
aek_tsi13s2g01096,.
aek_tsi13s2g01097,.
aek_tsi13s2g01098,.
aek_tsi13s2g01099,.
aek_tsi13s2g01100,atr42s2g00335
aek_tsi13s2g01101,.
aek_tsi13s2g01102,.
aek_tsi13s2g01103,atr42s2g00334
aek_tsi13s2g01104,.
aek_tsi13s2g01105,.
aek_tsi13s2g01106,atr42s2g00329
aek_tsi13s2g01107,
aek_tsi13s2g01108,
aek_tsi13s2g01109,
aek_tsi13s2g01110,
aek_tsi13s2g01111,
aek_tsi13s2g01112,
aek_tsi13s2g01113,
aek_tsi13s2g01114,
aek_tsi13s2g01115,
aek_tsi13s2g01116,
aek_tsi13s2g01117,
aek_tsi13s2g01118,
aek_tsi13s2g01119,
aek_tsi13s2g01120,
aek_tsi13s2g01121,
aek_tsi13s2g01122,
aek_tsi13s2g01123,
aek_tsi13s2g01124,
aek_tsi13s2g01125,
aek_tsi13s2g01126,
aek_tsi13s2g01127,
aek_tsi13s2g01128,
aek_tsi13s2g01129,
aek_tsi13s2g01130,
aek_tsi13s2g01131,
aek_tsi13s2g01132,
aek_tsi13s2g01133,
aek_tsi13s2g01134,
aek_tsi13s2g01135,
aek_tsi13s2g01136,
aek_tsi13s2g01137,
aek_tsi13s2g01138,
aek_tsi13s2g01139,
aek_tsi13s2g01140,
aek_tsi13s2g01141,
aek_tsi13s2g01142,
aek_tsi13s2g01143,
aek_tsi13s2g01144,
aek_tsi13s2g01145,
aek_tsi13s2g01146,
aek_tsi13s2g01147,
aek_tsi13s2g01148,
aek_tsi13s2g01149,
aek_tsi13s2g01150,
aek_tsi13s2g01151,
aek_tsi13s2g01152,
aek_tsi13s2g01153,
aek_tsi13s2g01154,
aek_tsi13s2g01155,
aek_tsi13s2g01156,
aek_tsi13s2g01157,
aek_tsi13s2g01158,
aek_tsi13s2g01159,
aek_tsi13s2g01160,
aek_tsi13s2g01161,
aek_tsi13s2g01162,
aek_tsi13s2g01163,
aek_tsi13s2g01164,
aek_tsi13s2g01165,
aek_tsi13s2g01166,atr42s2g00452
aek_tsi13s2g01167,.
aek_tsi13s2g01168,atr42s2g00453
aek_tsi13s2g01169,atr42s2g00456
aek_tsi13s2g01170,.
aek_tsi13s2g01171,.
aek_tsi13s2g01172,.
aek_tsi13s2g01173,.
aek_tsi13s2g01174,.
aek_tsi13s2g01175,.
aek_tsi13s2g01176,.
aek_tsi13s2g01177,.
aek_tsi13s2g01178,.
aek_tsi13s2g01179,.
aek_tsi13s2g01180,.
aek_tsi13s2g01181,.
aek_tsi13s2g01182,.
aek_tsi13s2g01183,.
aek_tsi13s2g01184,.
aek_tsi13s2g01185,.
aek_tsi13s2g01186,.
aek_tsi13s2g01187,.
aek_tsi13s2g01188,.
aek_tsi13s2g01189,.
aek_tsi13s2g01190,.
aek_tsi13s2g01191,.
aek_tsi13s2g01192,.
aek_tsi13s2g01193,atr42s2g00465
aek_tsi13s2g01194,.
aek_tsi13s2g01195,.
aek_tsi13s2g01196,.
aek_tsi13s2g01197,atr42s2g00471
aek_tsi13s2g01198,
aek_tsi13s2g01199,
aek_tsi13s2g01200,
aek_tsi13s2g01201,
aek_tsi13s2g01202,
aek_tsi13s2g01203,
aek_tsi13s2g01204,
aek_tsi13s2g01205,
aek_tsi13s2g01206,
aek_tsi13s2g01207,
aek_tsi13s2g01208,
aek_tsi13s2g01209,
aek_tsi13s2g01210,
aek_tsi13s2g01211,
aek_tsi13s2g01212,
aek_tsi13s2g01213,
aek_tsi13s2g01214,
aek_tsi13s2g01215,
aek_tsi13s2g01216,
aek_tsi13s2g01217,
aek_tsi13s2g01218,
aek_tsi13s2g01219,
aek_tsi13s2g01220,
aek_tsi13s2g01221,
aek_tsi13s2g01222,
aek_tsi13s2g01223,
aek_tsi13s2g01224,
aek_tsi13s2g01225,
aek_tsi13s2g01226,atr42s1g02083
aek_tsi13s2g01227,.
aek_tsi13s2g01228,.
aek_tsi13s2g01229,.
aek_tsi13s2g01230,.
aek_tsi13s2g01231,.
aek_tsi13s2g01232,.
aek_tsi13s2g01233,atr42s1g02087
aek_tsi13s2g01234,.
aek_tsi13s2g01235,.
aek_tsi13s2g01236,atr42s1g02088
aek_tsi13s2g01237,.
aek_tsi13s2g01238,atr42s1g02091
aek_tsi13s2g01239,atr42s1g02095
aek_tsi13s2g01240,.
aek_tsi13s2g01241,.
aek_tsi13s2g01242,.
aek_tsi13s2g01243,atr42s1g02105
aek_tsi13s2g01244,.
aek_tsi13s2g01245,.
aek_tsi13s2g01246,.
aek_tsi13s2g01247,.
aek_tsi13s2g01248,.
aek_tsi13s2g01249,atr42s1g02107
aek_tsi13s2g01250,.
aek_tsi13s2g01251,atr42s1g02110
aek_tsi13s2g01252,.
aek_tsi13s2g01253,atr42s1g02111
aek_tsi13s2g01254,
aek_tsi13s2g01255,
aek_tsi13s2g01256,
aek_tsi13s2g01257,
aek_tsi13s3g00001,atr42s6g00090
aek_tsi13s3g00002,atr42s6g00083
aek_tsi13s3g00003,atr42s6g00066
aek_tsi13s3g00004,.
aek_tsi13s3g00005,atr42s6g00055
aek_tsi13s3g00006,atr42s6g00048
aek_tsi13s3g00007,.
aek_tsi13s3g00008,.
aek_tsi13s3g00009,.
aek_tsi13s3g00010,atr42s6g00043
aek_tsi13s3g00011,atr42s6g00041
aek_tsi13s3g00012,.
aek_tsi13s3g00013,atr42s6g00036
aek_tsi13s3g00014,atr42s6g00034
aek_tsi13s3g00015,atr42s6g00033
aek_tsi13s3g00016,atr42s6g00031
aek_tsi13s3g00017,
aek_tsi13s3g00018,atr42s6g00123
aek_tsi13s3g00019,.
aek_tsi13s3g00020,atr42s6g00130
aek_tsi13s3g00021,.
aek_tsi13s3g00022,atr42s6g00135
aek_tsi13s3g00023,atr42s6g00140
aek_tsi13s3g00024,.
aek_tsi13s3g00025,atr42s6g00146
aek_tsi13s3g00026,atr42s6g00147
aek_tsi13s3g00027,atr42s6g00150
aek_tsi13s3g00028,
aek_tsi13s3g00029,
aek_tsi13s3g00030,
aek_tsi13s3g00031,
aek_tsi13s3g00032,
aek_tsi13s3g00033,
aek_tsi13s3g00034,atr42s6g00343
aek_tsi13s3g00035,.
aek_tsi13s3g00036,atr42s6g00350
aek_tsi13s3g00037,atr42s6g00351
aek_tsi13s3g00038,atr42s6g00354
aek_tsi13s3g00039,atr42s6g00361
aek_tsi13s3g00040,atr42s2g02523
aek_tsi13s3g00041,atr42s6g00372
aek_tsi13s3g00042,.
aek_tsi13s3g00043,atr42s6g00373
aek_tsi13s3g00044,.
aek_tsi13s3g00045,atr42s2g02528
aek_tsi13s3g00046,atr42s6g00280
aek_tsi13s3g00047,atr42s6g00290
aek_tsi13s3g00048,atr42s6g00293
aek_tsi13s3g00049,.
aek_tsi13s3g00050,atr42s6g00306
aek_tsi13s3g00051,atr42s6g00319
aek_tsi13s3g00052,atr42s6g00318
aek_tsi13s3g00053,.
aek_tsi13s3g00054,.
aek_tsi13s3g00055,atr42s6g00316
aek_tsi13s3g00056,.
aek_tsi13s3g00057,atr42s6g00315
aek_tsi13s3g00058,.
aek_tsi13s3g00059,atr42s6g00325
aek_tsi13s3g00060,atr42s6g00331
aek_tsi13s3g00061,atr42s6g00272
aek_tsi13s3g00062,atr42s2g02557
aek_tsi13s3g00063,atr42s6g00256
aek_tsi13s3g00064,.
aek_tsi13s3g00065,atr42s2g02581
aek_tsi13s3g00066,atr42s6g00251
aek_tsi13s3g00067,atr42s6g00239
aek_tsi13s3g00068,atr42s6g00237
aek_tsi13s3g00069,atr42s2g02585
aek_tsi13s3g00070,atr42s6g00223
aek_tsi13s3g00071,atr42s6g00219
aek_tsi13s3g00072,atr42s6g00215
aek_tsi13s3g00073,atr42s2g02600
aek_tsi13s3g00074,atr42s6g00189
aek_tsi13s3g00075,.
aek_tsi13s3g00076,atr42s6g00174
aek_tsi13s3g00077,atr42s6g00170
aek_tsi13s3g00078,atr42s6g00168
aek_tsi13s3g00079,
aek_tsi13s3g00080,
aek_tsi13s3g00081,
aek_tsi13s3g00082,
aek_tsi13s3g00083,atr42s6g00495
aek_tsi13s3g00084,atr42s6g00493
aek_tsi13s3g00085,atr42s6g00492
aek_tsi13s3g00086,.
aek_tsi13s3g00087,.
aek_tsi13s3g00088,.
aek_tsi13s3g00089,.
aek_tsi13s3g00090,atr42s6g00454
aek_tsi13s3g00091,.
aek_tsi13s3g00092,atr42s6g00442
aek_tsi13s3g00093,atr42s6g00439
aek_tsi13s3g00094,atr42s6g00432
aek_tsi13s3g00095,.
aek_tsi13s3g00096,.
aek_tsi13s3g00097,.
aek_tsi13s3g00098,.
aek_tsi13s3g00099,.
aek_tsi13s3g00100,.
aek_tsi13s3g00101,.
aek_tsi13s3g00102,.
aek_tsi13s3g00103,.
aek_tsi13s3g00104,.
aek_tsi13s3g00105,atr42s6g00510
aek_tsi13s3g00106,atr42s6g00515
aek_tsi13s3g00107,atr42s6g00516
aek_tsi13s3g00108,.
aek_tsi13s3g00109,.
aek_tsi13s3g00110,atr42s6g00521
aek_tsi13s3g00111,atr42s6g00523
aek_tsi13s3g00112,.
aek_tsi13s3g00113,atr42s6g00531
aek_tsi13s3g00114,atr42s6g00537
aek_tsi13s3g00115,.
aek_tsi13s3g00116,atr42s6g00546
aek_tsi13s3g00117,atr42s6g00550
aek_tsi13s3g00118,atr42s6g00552
aek_tsi13s3g00119,atr42s6g00558
aek_tsi13s3g00120,atr42s6g00566
aek_tsi13s3g00121,atr42s6g00568
aek_tsi13s3g00122,atr42s6g00593
aek_tsi13s3g00123,atr42s6g00621
aek_tsi13s3g00124,atr42s6g00624
aek_tsi13s3g00125,
aek_tsi13s3g00126,
aek_tsi13s3g00127,
aek_tsi13s3g00128,
aek_tsi13s3g00129,
aek_tsi13s3g00130,
aek_tsi13s3g00131,
aek_tsi13s3g00132,
aek_tsi13s3g00133,
aek_tsi13s3g00134,
aek_tsi13s3g00135,
aek_tsi13s3g00136,
aek_tsi13s3g00137,
aek_tsi13s3g00138,
aek_tsi13s3g00139,
aek_tsi13s3g00140,
aek_tsi13s3g00141,
aek_tsi13s3g00142,atr42s6g01261
aek_tsi13s3g00143,.
aek_tsi13s3g00144,.
aek_tsi13s3g00145,.
aek_tsi13s3g00146,.
aek_tsi13s3g00147,.
aek_tsi13s3g00148,atr42s6g02035
aek_tsi13s3g00149,atr42s6g02028
aek_tsi13s3g00150,.
aek_tsi13s3g00151,atr42s6g02027
aek_tsi13s3g00152,atr42s6g02026
aek_tsi13s3g00153,atr42s6g02025
aek_tsi13s3g00154,atr42s6g02024
aek_tsi13s3g00155,.
aek_tsi13s3g00156,.
aek_tsi13s3g00157,atr42s6g02021
aek_tsi13s3g00158,.
aek_tsi13s3g00159,.
aek_tsi13s3g00160,.
aek_tsi13s3g00161,.
aek_tsi13s3g00162,atr42s6g01247
aek_tsi13s3g00163,atr42s6g01244
aek_tsi13s3g00164,.
aek_tsi13s3g00165,atr42s6g01240
aek_tsi13s3g00166,atr42s6g01234
aek_tsi13s3g00167,.
aek_tsi13s3g00168,.
aek_tsi13s3g00169,.
aek_tsi13s3g00170,.
aek_tsi13s3g00171,atr42s6g01226
aek_tsi13s3g00172,atr42s6g02036
aek_tsi13s3g00173,.
aek_tsi13s3g00174,.
aek_tsi13s3g00175,.
aek_tsi13s3g00176,.
aek_tsi13s3g00177,.
aek_tsi13s3g00178,.
aek_tsi13s3g00179,.
aek_tsi13s3g00180,.
aek_tsi13s3g00181,.
aek_tsi13s3g00182,atr42s6g02073
aek_tsi13s3g00183,atr42s6g02069
aek_tsi13s3g00184,atr42s6g02061
aek_tsi13s3g00185,atr42s6g02059
aek_tsi13s3g00186,atr42s6g02042
aek_tsi13s3g00187,.
aek_tsi13s3g00188,atr42s6g02045
aek_tsi13s3g00189,.
aek_tsi13s3g00190,.
aek_tsi13s3g00191,.
aek_tsi13s3g00192,.
aek_tsi13s3g00193,.
aek_tsi13s3g00194,atr42s6g02047
aek_tsi13s3g00195,atr42s6g02075
aek_tsi13s3g00196,.
aek_tsi13s3g00197,.
aek_tsi13s3g00198,.
aek_tsi13s3g00199,atr42s6g02076
aek_tsi13s3g00200,
aek_tsi13s3g00201,
aek_tsi13s3g00202,
aek_tsi13s3g00203,atr42s6g01974
aek_tsi13s3g00204,.
aek_tsi13s3g00205,atr42s6g01961
aek_tsi13s3g00206,atr42s6g01960
aek_tsi13s3g00207,.
aek_tsi13s3g00208,.
aek_tsi13s3g00209,atr42s6g01938
aek_tsi13s3g00210,atr42s6g01937
aek_tsi13s3g00211,.
aek_tsi13s3g00212,atr42s6g01983
aek_tsi13s3g00213,atr42s6g01990
aek_tsi13s3g00214,atr42s6g01992
aek_tsi13s3g00215,atr42s6g01999
aek_tsi13s3g00216,atr42s6g02007
aek_tsi13s3g00217,atr42s6g02008
aek_tsi13s3g00218,atr42s6g01663
aek_tsi13s3g00219,.
aek_tsi13s3g00220,.
aek_tsi13s3g00221,.
aek_tsi13s3g00222,.
aek_tsi13s3g00223,.
aek_tsi13s3g00224,atr42s6g01665
aek_tsi13s3g00225,.
aek_tsi13s3g00226,.
aek_tsi13s3g00227,.
aek_tsi13s3g00228,.
aek_tsi13s3g00229,.
aek_tsi13s3g00230,.
aek_tsi13s3g00231,.
aek_tsi13s3g00232,.
aek_tsi13s3g00233,.
aek_tsi13s3g00234,.
aek_tsi13s3g00235,atr42s6g01666
aek_tsi13s3g00236,.
aek_tsi13s3g00237,atr42s6g01695
aek_tsi13s3g00238,atr42s6g01694
aek_tsi13s3g00239,.
aek_tsi13s3g00240,atr42s6g01677
aek_tsi13s3g00241,atr42s6g01676
aek_tsi13s3g00242,atr42s6g01669
aek_tsi13s3g00243,atr42s6g01698
aek_tsi13s3g00244,atr42s6g01699
aek_tsi13s3g00245,atr42s6g01704
aek_tsi13s3g00246,.
aek_tsi13s3g00247,atr42s6g01721
aek_tsi13s3g00248,.
aek_tsi13s3g00249,atr42s6g01736
aek_tsi13s3g00250,atr42s6g01744
aek_tsi13s3g00251,.
aek_tsi13s3g00252,.
aek_tsi13s3g00253,.
aek_tsi13s3g00254,atr42s6g01749
aek_tsi13s3g00255,atr42s6g01751
aek_tsi13s3g00256,.
aek_tsi13s3g00257,.
aek_tsi13s3g00258,.
aek_tsi13s3g00259,.
aek_tsi13s3g00260,.
aek_tsi13s3g00261,.
aek_tsi13s3g00262,atr42s6g01758
aek_tsi13s3g00263,atr42s6g01772
aek_tsi13s3g00264,atr42s6g01780
aek_tsi13s3g00265,.
aek_tsi13s3g00266,atr42s6g01792
aek_tsi13s3g00267,.
aek_tsi13s3g00268,atr42s6g01815
aek_tsi13s3g00269,.
aek_tsi13s3g00270,.
aek_tsi13s3g00271,.
aek_tsi13s3g00272,atr42s6g01816
aek_tsi13s3g00273,atr42s6g01817
aek_tsi13s3g00274,.
aek_tsi13s3g00275,atr42s6g01826
aek_tsi13s3g00276,atr42s6g01848
aek_tsi13s3g00277,atr42s6g01852
aek_tsi13s3g00278,atr42s6g01855
aek_tsi13s3g00279,atr42s6g01860
aek_tsi13s3g00280,.
aek_tsi13s3g00281,atr42s6g01862
aek_tsi13s3g00282,atr42s6g01880
aek_tsi13s3g00283,.
aek_tsi13s3g00284,.
aek_tsi13s3g00285,atr42s6g01882
aek_tsi13s3g00286,.
aek_tsi13s3g00287,atr42s6g01885
aek_tsi13s3g00288,atr42s6g01886
aek_tsi13s3g00289,.
aek_tsi13s3g00290,atr42s6g01895
aek_tsi13s3g00291,
aek_tsi13s3g00292,
aek_tsi13s3g00293,
aek_tsi13s3g00294,
aek_tsi13s3g00295,
aek_tsi13s3g00296,
aek_tsi13s3g00297,
aek_tsi13s3g00298,
aek_tsi13s3g00299,
aek_tsi13s3g00300,
aek_tsi13s3g00301,
aek_tsi13s3g00302,
aek_tsi13s3g00303,
aek_tsi13s3g00304,
aek_tsi13s3g00305,
aek_tsi13s3g00306,
aek_tsi13s3g00307,
aek_tsi13s3g00308,
aek_tsi13s3g00309,
aek_tsi13s3g00310,
aek_tsi13s3g00311,
aek_tsi13s3g00312,
aek_tsi13s3g00313,
aek_tsi13s3g00314,atr42s3g00810
aek_tsi13s3g00315,.
aek_tsi13s3g00316,atr42s3g00823
aek_tsi13s3g00317,atr42s3g00831
aek_tsi13s3g00318,.
aek_tsi13s3g00319,atr42s3g00846
aek_tsi13s3g00320,atr42s3g00848
aek_tsi13s3g00321,.
aek_tsi13s3g00322,.
aek_tsi13s3g00323,.
aek_tsi13s3g00324,.
aek_tsi13s3g00325,.
aek_tsi13s3g00326,.
aek_tsi13s3g00327,atr42s3g00861
aek_tsi13s3g00328,.
aek_tsi13s3g00329,atr42s3g00878
aek_tsi13s3g00330,atr42s3g00929
aek_tsi13s3g00331,.
aek_tsi13s3g00332,atr42s3g00941
aek_tsi13s3g00333,.
aek_tsi13s3g00334,atr42s3g00957
aek_tsi13s3g00335,.
aek_tsi13s3g00336,atr42s3g00961
aek_tsi13s3g00337,.
aek_tsi13s3g00338,atr42s3g00989
aek_tsi13s3g00339,.
aek_tsi13s3g00340,atr42s3g00992
aek_tsi13s3g00341,atr42s3g01007
aek_tsi13s3g00342,atr42s3g01008
aek_tsi13s3g00343,atr42s3g01032
aek_tsi13s3g00344,atr42s3g01034
aek_tsi13s3g00345,atr42s3g01051
aek_tsi13s3g00346,
aek_tsi13s3g00347,
aek_tsi13s3g00348,atr42s1g02139
aek_tsi13s3g00349,.
aek_tsi13s3g00350,atr42s1g02154
aek_tsi13s3g00351,.
aek_tsi13s3g00352,.
aek_tsi13s3g00353,atr42s1g02157
aek_tsi13s3g00354,atr42s1g02164
aek_tsi13s3g00355,atr42s1g02165
aek_tsi13s3g00356,atr42s1g02166
aek_tsi13s3g00357,atr42s1g02168
aek_tsi13s3g00358,.
aek_tsi13s3g00359,atr42s1g02172
aek_tsi13s3g00360,atr42s1g02184
aek_tsi13s3g00361,atr42s10g01319
aek_tsi13s3g00362,atr42s1g02194
aek_tsi13s3g00363,.
aek_tsi13s3g00364,.
aek_tsi13s3g00365,.
aek_tsi13s3g00366,atr42s1g02202
aek_tsi13s3g00367,atr42s1g02203
aek_tsi13s3g00368,atr42s1g02207
aek_tsi13s3g00369,atr42s10g01680
aek_tsi13s3g00370,atr42s10g01674
aek_tsi13s3g00371,atr42s10g01672
aek_tsi13s3g00372,atr42s10g01671
aek_tsi13s3g00373,atr42s10g01320
aek_tsi13s3g00374,atr42s10g01341
aek_tsi13s3g00375,atr42s10g01663
aek_tsi13s3g00376,atr42s10g01655
aek_tsi13s3g00377,atr42s10g01647
aek_tsi13s3g00378,atr42s10g01589
aek_tsi13s3g00379,.
aek_tsi13s3g00380,atr42s10g01629
aek_tsi13s3g00381,atr42s10g01628
aek_tsi13s3g00382,atr42s10g01554
aek_tsi13s3g00383,.
aek_tsi13s3g00384,atr42s10g01568
aek_tsi13s3g00385,atr42s10g01565
aek_tsi13s3g00386,atr42s10g01557
aek_tsi13s3g00387,atr42s10g01562
aek_tsi13s3g00388,atr42s10g01563
aek_tsi13s3g00389,atr42s10g01574
aek_tsi13s3g00390,atr42s10g01583
aek_tsi13s3g00391,.
aek_tsi13s3g00392,.
aek_tsi13s3g00393,.
aek_tsi13s3g00394,.
aek_tsi13s3g00395,atr42s10g01528
aek_tsi13s3g00396,atr42s10g01526
aek_tsi13s3g00397,.
aek_tsi13s3g00398,.
aek_tsi13s3g00399,.
aek_tsi13s3g00400,.
aek_tsi13s3g00401,.
aek_tsi13s3g00402,.
aek_tsi13s3g00403,atr42s10g01349
aek_tsi13s3g00404,.
aek_tsi13s3g00405,.
aek_tsi13s3g00406,.
aek_tsi13s3g00407,.
aek_tsi13s3g00408,.
aek_tsi13s3g00409,atr42s10g01323
aek_tsi13s3g00410,atr42s10g01311
aek_tsi13s3g00411,.
aek_tsi13s3g00412,atr42s10g01306
aek_tsi13s3g00413,atr42s10g01304
aek_tsi13s3g00414,.
aek_tsi13s3g00415,atr42s10g01277
aek_tsi13s3g00416,.
aek_tsi13s3g00417,.
aek_tsi13s3g00418,.
aek_tsi13s3g00419,.
aek_tsi13s3g00420,atr42s10g01272
aek_tsi13s3g00421,.
aek_tsi13s3g00422,.
aek_tsi13s3g00423,.
aek_tsi13s3g00424,.
aek_tsi13s3g00425,.
aek_tsi13s3g00426,.
aek_tsi13s3g00427,.
aek_tsi13s3g00428,.
aek_tsi13s3g00429,.
aek_tsi13s3g00430,atr42s10g01239
aek_tsi13s3g00431,.
aek_tsi13s3g00432,.
aek_tsi13s3g00433,.
aek_tsi13s3g00434,.
aek_tsi13s3g00435,atr42s10g01351
aek_tsi13s3g00436,
aek_tsi13s3g00437,
aek_tsi13s3g00438,
aek_tsi13s3g00439,
aek_tsi13s3g00440,
aek_tsi13s3g00441,
aek_tsi13s3g00442,
aek_tsi13s3g00443,
aek_tsi13s3g00444,
aek_tsi13s3g00445,
aek_tsi13s3g00446,
aek_tsi13s3g00447,
aek_tsi13s3g00448,
aek_tsi13s3g00449,
aek_tsi13s3g00450,atr42s3g02555
aek_tsi13s3g00451,.
aek_tsi13s3g00452,atr42s3g02554
aek_tsi13s3g00453,atr42s3g02553
aek_tsi13s3g00454,.
aek_tsi13s3g00455,.
aek_tsi13s3g00456,atr42s3g02550
aek_tsi13s3g00457,atr42s3g02546
